bus_factor.Time,bus_factor,bus_factor.name
2022-05-01,66.0,condaforge_stagedrecipes
2022-05-01,74.0,containers_podman
2022-05-01,127.0,coolsnowwolf_lede
2022-05-01,175.0,cypressio_cypress
2022-05-01,33.0,darktableorg_darktable
2022-05-01,33.0,DataDog_datadogagent
2022-05-01,146.0,dbeaver_dbeaver
2022-05-01,233.0,DefinitelyTyped_DefinitelyTyped
2022-05-01,36.0,demisto_content
2022-05-01,46.0,denoland_deno
2022-05-01,97.0,departmentofveteransaffairs_va.govteam
2022-05-01,116.0,desktop_desktop
2022-05-01,53.0,directus_directus
2022-05-01,32.0,docker_docs
2022-05-01,105.0,dotnet_aspnetcore
2022-05-01,46.0,dotnet_AspNetCore.Docs
2022-05-01,80.0,dotnet_docs
2022-05-01,118.0,dotnet_efcore
2022-05-01,162.0,dotnet_maui
2022-05-01,21.0,dotnet_roslyn
2022-05-01,113.0,dotnet_runtime
2022-05-01,5070.0,education_GitHubGraduation2022
2022-05-01,41.0,elastic_elasticsearch
2022-05-01,96.0,elastic_kibana
2022-05-01,154.0,electron_electron
2022-05-01,5.0,elementfi_elfcouncilfrontend
2022-05-01,259.0,elementplus_elementplus
2022-05-01,152.0,elementor_elementor
2022-05-01,37.0,envoyproxy_envoy
2022-05-01,227.0,espressif_espidf
2022-05-01,63.0,ethereum_ethereumorgwebsite
2022-05-01,35.0,Expensify_App
2022-05-01,285.0,expo_expo
2022-05-01,134.0,facebook_react
2022-05-01,231.0,facebook_reactnative
2022-05-01,77.0,filecoinproject_filecoinpluslargedatasets
2022-05-01,122.0,filescommunity_Files
2022-05-01,18.0,firebase_firebaseandroidsdk
2022-05-01,137.0,firebase_flutterfire
2022-05-01,578.0,firstcontributions_firstcontributions
2022-05-01,23.0,flathub_flathub
2022-05-01,25.0,flutter_engine
2022-05-01,1138.0,flutter_flutter
2022-05-01,14.0,flutter_plugins
2022-05-01,23.0,flybywiresim_a32nx
2022-05-01,256.0,freddier_hyperblog
2022-05-01,106.0,gatsbyjs_gatsby
2022-05-01,43.0,gentoo_gentoo
2022-05-01,29.0,getsentry_sentry
2022-05-01,20.0,github_codeql
2022-05-01,260.0,github_docs
2022-05-01,26.0,gitpodio_gitpod
2022-05-01,57.0,gogitea_gitea
2022-05-01,168.0,godotengine_godot
2022-05-01,393.0,golang_go
2022-05-01,421.0,google_itcertautomationpractice
2022-05-01,2.0,googletest_signclav2proberepo
2022-05-01,32.0,GoogleChrome_developer.chrome.com
2022-05-01,54.0,gradle_gradle
2022-05-01,82.0,grafana_grafana
2022-05-01,61.0,grafana_loki
2022-05-01,25.0,gravitational_teleport
2022-05-01,45.0,grpc_grpc
2022-05-01,264.0,hashicorp_terraformprovideraws
2022-05-01,272.0,hashicorp_terraformproviderazurerm
2022-05-01,31.0,hashicorp_vault
2022-05-01,122.0,helium_denylist
2022-05-01,75.0,helixeditor_helix
2022-05-01,1098.0,homeassistant_core
2022-05-01,129.0,homeassistant_frontend
2022-05-01,91.0,homeassistant_homeassistant.io
2022-05-01,89.0,Homebrew_homebrewcask
2022-05-01,89.0,Homebrew_homebrewcore
2022-05-01,139.0,huggingface_transformers
2022-05-01,1.0,idsb3t1_KEEPpipelinetestsresources
2022-05-01,39.0,influxdata_telegraf
2022-05-01,35.0,IntelRealSense_librealsense
2022-05-01,50.0,istio_istio
2022-05-01,1.0,JacksonKearl_testissues
2022-05-01,122.0,JetBrains_swot
2022-05-01,32.0,jitsi_jitsimeet
2022-05-01,129.0,jlord_patchwork
2022-05-01,35.0,joomla_joomlacms
2022-05-01,63.0,JuliaLang_julia
2022-05-01,12.0,JuliaRegistries_General
2022-05-01,41.0,Kaiserreich_Kaiserreich4
2022-05-01,201.0,keycloak_keycloak
2022-05-01,300.0,Koenkk_zigbee2mqtt
2022-05-01,131.0,kubernetes_kubernetes
2022-05-01,103.0,kubernetes_minikube
2022-05-01,42.0,kubernetes_testinfra
2022-05-01,58.0,kubernetes_website
2022-05-01,22.0,kubevirt_kubevirt
2022-05-01,114.0,laravel_framework
2022-05-01,20.0,leanprovercommunity_mathlib
2022-05-01,283.0,LeetCodeFeedback_LeetCodeFeedback
2022-05-01,127.0,lensapp_lens
2022-05-01,43.0,LightningAI_lightning
2022-05-01,461.0,llvm_llvmproject
2022-05-01,210.0,logseq_logseq
2022-05-01,25.0,macports_macportsports
2022-05-01,154.0,magento_magento2
2022-05-01,48.0,MarlinFirmware_Marlin
2022-05-01,136.0,mastodon_mastodon
2022-05-01,28.0,matplotlib_matplotlib
2022-05-01,18.0,matrixorg_synapse
2022-05-01,16.0,mattermost_mattermostwebapp
2022-05-01,84.0,mdn_content
2022-05-01,111.0,mdn_translatedcontent
2022-05-01,24.0,metabase_metabase
2022-05-01,168.0,MetaMask_ethphishingdetect
2022-05-01,36.0,MetaMask_metamaskextension
2022-05-01,36.0,metersphere_metersphere
2022-05-01,20.0,microsoft_azuredatastudio
2022-05-01,17.0,microsoft_fluentui
2022-05-01,48.0,microsoft_onnxruntime
2022-05-01,278.0,microsoft_playwright
2022-05-01,598.0,microsoft_PowerToys
2022-05-01,131.0,microsoft_terminal
2022-05-01,302.0,microsoft_TypeScript
2022-05-01,82.0,microsoft_vcpkg
2022-05-01,1472.0,microsoft_vscode
2022-05-01,28.0,microsoft_vscodejupyter
2022-05-01,58.0,microsoft_wingetpkgs
2022-05-01,154.0,microsoft_WSL
2022-05-01,1334.0,MicrosoftDocs_azuredocs
2022-05-01,224.0,MicrosoftDocs_microsoft365docs
2022-05-01,19.0,MicrosoftDocs_msteamsdocs
2022-05-01,92.0,microsoftgraph_microsoftgraphdocs
2022-05-01,31.0,mlflow_mlflow
2022-05-01,38.0,mozillamobile_fenix
2022-05-01,52.0,mrdoob_three.js
2022-05-01,251.0,mui_materialui
2022-05-01,162.0,mui_muix
2022-05-01,44.0,neovim_neovim
2022-05-01,42.0,newrelic_docswebsite
2022-05-01,97.0,nextcloud_desktop
2022-05-01,224.0,nextcloud_server
2022-05-01,316.0,NixOS_nixpkgs
2022-05-01,85.0,nodejs_node
2022-05-01,34.0,nrfconnect_sdknrf
2022-05-01,249.0,nrwl_nx
2022-05-01,200.0,nuxt_framework
2022-05-01,33.0,o3de_o3de
2022-05-01,45.0,obsproject_obsstudio
2022-05-01,86.0,odoo_odoo
2022-05-01,158.0,openmmlab_mmdetection
2022-05-01,26.0,opentelemetry_opentelemetrycollectorcontrib
2022-05-01,149.0,OpenAPITools_openapigenerator
2022-05-01,111.0,opencv_opencv
2022-05-01,23.0,openhab_openhabaddons
2022-05-01,60.0,openjdk_jdk
2022-05-01,250.0,openjournals_jossreviews
2022-05-01,68.0,openshift_openshiftdocs
2022-05-01,107.0,openshift_release
2022-05-01,49.0,openssl_openssl
2022-05-01,23.0,openvinotoolkit_openvino
2022-05-01,94.0,openwrt_openwrt
2022-05-01,13.0,oppia_oppia
2022-05-01,97.0,PaddlePaddle_Paddle
2022-05-01,198.0,PaddlePaddle_PaddleOCR
2022-05-01,64.0,pandasdev_pandas
2022-05-01,54.0,php_phpsrc
2022-05-01,33.0,pingcap_tidb
2022-05-01,155.0,PixelExperience_androidissues
2022-05-01,112.0,postmanlabs_postmanappsupport
2022-05-01,125.0,PowerShell_PowerShell
2022-05-01,36.0,ppy_osu
2022-05-01,29.0,PrestaShop_PrestaShop
2022-05-01,232.0,prisma_prisma
2022-05-01,38.0,projectchip_connectedhomeip
2022-05-01,114.0,prusa3d_PrusaSlicer
2022-05-01,126.0,python_cpython
2022-05-01,116.0,pytorch_pytorch
2022-05-01,157.0,qbittorrent_qBittorrent
2022-05-01,55.0,qgis_QGIS
2022-05-01,99.0,qmk_qmk_firmware
2022-05-01,78.0,quarkusio_quarkus
2022-05-01,94.0,rails_rails
2022-05-01,203.0,rancher_rancher
2022-05-01,20.0,rapid7_metasploitframework
2022-05-01,33.0,rayproject_ray
2022-05-01,93.0,raycast_extensions
2022-05-01,31.0,redis_redis
2022-05-01,100.0,Regalis11_Barotrauma
2022-05-01,76.0,remixrun_remix
2022-05-01,35.0,renovatebot_renovate
2022-05-01,56.0,RocketChat_Rocket.Chat
2022-05-01,60.0,RPCS3_rpcs3
2022-05-01,35.0,rstudio_rstudio
2022-05-01,128.0,rufflers_ruffle
2022-05-01,114.0,rustlang_rust
2022-05-01,39.0,scikitlearn_scikitlearn
2022-05-01,35.0,scipy_scipy
2022-05-01,79.0,sectionengineeringeducation_engineeringeducation
2022-05-01,28.0,SerenityOS_serenity
2022-05-01,130.0,ShadowMario_FNFPsychEngine
2022-05-01,17.0,SkyratSS13_Skyrattg
2022-05-01,28.0,solanalabs_solana
2022-05-01,416.0,solanalabs_tokenlist
2022-05-01,33.0,sourcegraph_sourcegraph
2022-05-01,66.0,spack_spack
2022-05-01,225.0,spyderide_spyder
2022-05-01,206.0,storybookjs_storybook
2022-05-01,174.0,strapi_strapi
2022-05-01,178.0,sveltejs_kit
2022-05-01,92.0,symfony_symfony
2022-05-01,77.0,systemd_systemd
2022-05-01,30.0,tachiyomiorg_tachiyomi
2022-05-01,198.0,tachiyomiorg_tachiyomiextensions
2022-05-01,101.0,tailscale_tailscale
2022-05-01,21.0,taosdata_TDengine
2022-05-01,3025.0,taozhiyu_TyProAction
2022-05-01,141.0,TeamNewPipe_NewPipe
2022-05-01,134.0,tensorflow_tensorflow
2022-05-01,54.0,termux_termuxpackages
2022-05-01,62.0,tgstation_tgstation
2022-05-01,177.0,TPLab_tokens
2022-05-01,31.0,trinodb_trino
2022-05-01,137.0,trustwallet_assets
2022-05-01,112.0,typechallenges_typechallenges
2022-05-01,288.0,uBlockOrigin_uAssets
2022-05-01,338.0,Ultimaker_Cura
2022-05-01,273.0,ultralytics_yolov5
2022-05-01,70.0,unifyai_ivy
2022-05-01,191.0,ValveSoftware_Proton
2022-05-01,14.0,vectordotdev_vector
2022-05-01,385.0,vercel_next.js
2022-05-01,230.0,vitejs_vite
2022-05-01,49.0,voidlinux_voidpackages
2022-05-01,106.0,webcompat_webbugs
2022-05-01,45.0,woocommerce_woocommerce
2022-05-01,86.0,WordPress_gutenberg
2022-05-01,9.0,xamarin_xamarinmacios
2022-05-01,30.0,xbmc_xbmc
2022-05-01,105.0,ytdlp_ytdlp
2022-05-01,88.0,yuzuemu_yuzu
2022-05-01,115.0,zephyrprojectrtos_zephyr
2022-05-01,167.0,zerotomastery_starthereguidelines
2022-05-01,39.0,ziglang_zig
2022-05-01,18.0,zulip_zulip
2022-06-01,19.0,AdguardTeam_AdguardFilters
2022-06-01,53.0,airbytehq_airbyte
2022-06-01,126.0,alibaba_nacos
2022-06-01,200.0,angular_angular
2022-06-01,83.0,angular_components
2022-06-01,10.0,ankidroid_AnkiAndroid
2022-06-01,43.0,ansible_ansible
2022-06-01,259.0,antdesign_antdesign
2022-06-01,73.0,apache_airflow
2022-06-01,26.0,apache_apisix
2022-06-01,24.0,apache_arrow
2022-06-01,25.0,apache_beam
