stars.Time,stars.name,stars
2015-05-01,gatsbyjs_gatsby,1.0
2015-05-01,getsentry_sentry,152.0
2015-05-01,godotengine_godot,228.0
2015-05-01,golang_go,658.0
2015-05-01,gradle_gradle,78.0
2015-05-01,grafana_grafana,272.0
2015-05-01,grpc_grpc,154.0
2015-05-01,hashicorp_vault,1021.0
2015-05-01,homeassistant_core,50.0
2015-05-01,Homebrew_homebrewcask,252.0
2015-05-01,JetBrains_swot,13.0
2015-05-01,jitsi_jitsimeet,30.0
2015-05-01,jlord_patchwork,10.0
2015-05-01,joomla_joomlacms,44.0
2015-05-01,JuliaLang_julia,215.0
2015-05-01,keycloak_keycloak,23.0
2015-05-01,kubernetes_kubernetes,622.0
2015-05-01,laravel_framework,155.0
2015-05-01,magento_magento2,61.0
2015-05-01,MarlinFirmware_Marlin,47.0
2015-05-01,matplotlib_matplotlib,81.0
2015-05-01,matrixorg_synapse,17.0
2015-05-01,microsoft_TypeScript,544.0
2015-05-01,mrdoob_three.js,478.0
2015-05-01,mui_materialui,699.0
2015-05-01,neovim_neovim,420.0
2015-05-01,NixOS_nixpkgs,38.0
2015-05-01,nodejs_node,732.0
2015-05-01,obsproject_obsstudio,131.0
2015-05-01,odoo_odoo,161.0
2015-05-01,opencv_opencv,305.0
2015-05-01,openhab_openhabaddons,25.0
2015-05-01,openshift_openshiftdocs,2.0
2015-05-01,openssl_openssl,66.0
2015-05-01,pandasdev_pandas,135.0
2015-05-01,php_phpsrc,213.0
2015-05-01,postmanlabs_postmanappsupport,73.0
2015-05-01,ppy_osu,1.0
2015-05-01,PrestaShop_PrestaShop,52.0
2015-05-01,qbittorrent_qBittorrent,94.0
2015-05-01,qgis_QGIS,16.0
2015-05-01,qmk_qmk_firmware,5.0
2015-05-01,rails_rails,541.0
2015-05-01,rancher_rancher,161.0
2015-05-01,rapid7_metasploitframework,155.0
2015-05-01,redis_redis,445.0
2015-05-01,RocketChat_Rocket.Chat,839.0
2015-05-01,RPCS3_rpcs3,40.0
2015-05-01,rstudio_rstudio,21.0
2015-05-01,rustlang_rust,1463.0
2015-05-01,scikitlearn_scikitlearn,400.0
2015-05-01,scipy_scipy,56.0
2015-05-01,spack_spack,1.0
2015-05-01,spyderide_spyder,67.0
2015-05-01,symfony_symfony,207.0
2015-05-01,systemd_systemd,3.0
2015-05-01,tgstation_tgstation,19.0
2015-05-01,Ultimaker_Cura,5.0
2015-05-01,webcompat_webbugs,1.0
2015-05-01,woocommerce_woocommerce,78.0
2015-05-01,xbmc_xbmc,77.0
2015-06-01,angular_angular,609.0
2015-06-01,ankidroid_AnkiAndroid,20.0
2015-06-01,ansible_ansible,498.0
2015-06-01,antdesign_antdesign,20.0
2015-06-01,apache_airflow,585.0
2015-06-01,apache_flink,49.0
2015-06-01,apache_spark,474.0
2015-06-01,ArduPilot_ardupilot,93.0
2015-06-01,Automattic_jetpack,20.0
2015-06-01,Azure_azurepowershell,29.0
2015-06-01,Azure_azuresdkforjava,2.0
2015-06-01,Azure_azuresdkfornet,16.0
2015-06-01,Azure_azuresdkforpython,8.0
2015-06-01,bitcoin_bitcoin,187.0
2015-06-01,ceph_ceph,67.0
2015-06-01,CleverRaven_CataclysmDDA,23.0
2015-06-01,cmssw_cmssw,8.0
2015-06-01,cockroachdb_cockroach,1387.0
2015-06-01,cypressio_cypress,6.0
2015-06-01,darktableorg_darktable,20.0
2015-06-01,DefinitelyTyped_DefinitelyTyped,294.0
2015-06-01,directus_directus,5.0
2015-06-01,dotnet_aspnetcore,163.0
2015-06-01,dotnet_AspNetCore.Docs,21.0
2015-06-01,dotnet_docs,1.0
2015-06-01,dotnet_efcore,149.0
2015-06-01,dotnet_roslyn,194.0
2015-06-01,elastic_elasticsearch,481.0
2015-06-01,elastic_kibana,166.0
2015-06-01,electron_electron,1455.0
2015-06-01,facebook_react,1492.0
2015-06-01,facebook_reactnative,993.0
2015-06-01,flutter_flutter,75.0
2015-06-01,gatsbyjs_gatsby,10.0
2015-06-01,getsentry_sentry,213.0
2015-06-01,godotengine_godot,141.0
2015-06-01,golang_go,628.0
2015-06-01,gradle_gradle,78.0
2015-06-01,grafana_grafana,273.0
2015-06-01,grpc_grpc,162.0
2015-06-01,hashicorp_vault,317.0
2015-06-01,homeassistant_core,53.0
2015-06-01,Homebrew_homebrewcask,221.0
2015-06-01,influxdata_telegraf,194.0
2015-06-01,JetBrains_swot,5.0
2015-06-01,jitsi_jitsimeet,18.0
2015-06-01,jlord_patchwork,11.0
2015-06-01,joomla_joomlacms,37.0
2015-06-01,JuliaLang_julia,149.0
2015-06-01,keycloak_keycloak,13.0
2015-06-01,kubernetes_kubernetes,714.0
2015-06-01,laravel_framework,144.0
2015-06-01,magento_magento2,83.0
2015-06-01,MarlinFirmware_Marlin,27.0
2015-06-01,matplotlib_matplotlib,83.0
2015-06-01,matrixorg_synapse,39.0
2015-06-01,microsoft_TypeScript,397.0
2015-06-01,mrdoob_three.js,454.0
2015-06-01,mui_materialui,703.0
2015-06-01,neovim_neovim,526.0
2015-06-01,NixOS_nixpkgs,51.0
2015-06-01,nodejs_node,281.0
2015-06-01,obsproject_obsstudio,81.0
2015-06-01,odoo_odoo,132.0
2015-06-01,opencv_opencv,464.0
2015-06-01,openhab_openhabaddons,27.0
2015-06-01,openshift_openshiftdocs,3.0
2015-06-01,openssl_openssl,81.0
2015-06-01,pandasdev_pandas,146.0
2015-06-01,php_phpsrc,288.0
2015-06-01,postmanlabs_postmanappsupport,65.0
2015-06-01,ppy_osu,3.0
2015-06-01,PrestaShop_PrestaShop,48.0
2015-06-01,qbittorrent_qBittorrent,51.0
2015-06-01,qgis_QGIS,31.0
2015-06-01,qmk_qmk_firmware,8.0
2015-06-01,rails_rails,496.0
2015-06-01,rancher_rancher,149.0
2015-06-01,rapid7_metasploitframework,183.0
2015-06-01,redis_redis,535.0
2015-06-01,RocketChat_Rocket.Chat,1654.0
2015-06-01,RPCS3_rpcs3,61.0
2015-06-01,rstudio_rstudio,26.0
2015-06-01,rustlang_rust,623.0
2015-06-01,scikitlearn_scikitlearn,375.0
2015-06-01,scipy_scipy,62.0
2015-06-01,spack_spack,2.0
2015-06-01,spyderide_spyder,69.0
2015-06-01,symfony_symfony,193.0
2015-06-01,systemd_systemd,378.0
2015-06-01,tgstation_tgstation,16.0
2015-06-01,Ultimaker_Cura,6.0
2015-06-01,webcompat_webbugs,2.0
2015-06-01,woocommerce_woocommerce,62.0
2015-06-01,xbmc_xbmc,65.0
2015-07-01,angular_angular,657.0
2015-07-01,ankidroid_AnkiAndroid,18.0
2015-07-01,ansible_ansible,502.0
2015-07-01,antdesign_antdesign,421.0
2015-07-01,apache_airflow,151.0
2015-07-01,apache_flink,57.0
2015-07-01,apache_spark,388.0
2015-07-01,apache_superset,15.0
2015-07-01,ArduPilot_ardupilot,58.0
2015-07-01,Automattic_jetpack,18.0
2015-07-01,Azure_azurepowershell,28.0
2015-07-01,Azure_azuresdkforjava,4.0
2015-07-01,Azure_azuresdkfornet,13.0
2015-07-01,Azure_azuresdkforpython,7.0
2015-07-01,bitcoin_bitcoin,204.0
2015-07-01,ceph_ceph,69.0
2015-07-01,CleverRaven_CataclysmDDA,21.0
2015-07-01,cmssw_cmssw,12.0
2015-07-01,cockroachdb_cockroach,161.0
2015-07-01,cypressio_cypress,7.0
2015-07-01,darktableorg_darktable,23.0
2015-07-01,DefinitelyTyped_DefinitelyTyped,214.0
2015-07-01,directus_directus,6.0
2015-07-01,dotnet_aspnetcore,217.0
2015-07-01,dotnet_AspNetCore.Docs,27.0
2015-07-01,dotnet_docs,3.0
2015-07-01,dotnet_efcore,166.0
2015-07-01,dotnet_roslyn,339.0
2015-07-01,elastic_elasticsearch,408.0
2015-07-01,elastic_kibana,152.0
2015-07-01,electron_electron,1485.0
2015-07-01,facebook_react,1681.0
2015-07-01,facebook_reactnative,945.0
2015-07-01,flutter_engine,89.0
2015-07-01,flutter_flutter,62.0
2015-07-01,gatsbyjs_gatsby,99.0
2015-07-01,getsentry_sentry,179.0
2015-07-01,godotengine_godot,116.0
2015-07-01,golang_go,772.0
2015-07-01,gradle_gradle,73.0
2015-07-01,grafana_grafana,262.0
2015-07-01,grpc_grpc,182.0
2015-07-01,hashicorp_vault,237.0
2015-07-01,homeassistant_core,42.0
2015-07-01,homeassistant_frontend,7.0
2015-07-01,homeassistant_homeassistant.io,1.0
2015-07-01,Homebrew_homebrewcask,217.0
2015-07-01,influxdata_telegraf,172.0
2015-07-01,JetBrains_swot,7.0
2015-07-01,jitsi_jitsimeet,36.0
2015-07-01,jlord_patchwork,9.0
2015-07-01,joomla_joomlacms,40.0
2015-07-01,JuliaLang_julia,116.0
2015-07-01,keycloak_keycloak,21.0
2015-07-01,kubernetes_kubernetes,852.0
2015-07-01,laravel_framework,111.0
