change_request_response_time.Time,change_request_response_time,change_request_response_time.name
2015-06-01,1.35,Azure_azuresdkforpython
2015-06-01,2.34,bitcoin_bitcoin
2015-06-01,0.95,ceph_ceph
2015-06-01,204.97,CleverRaven_CataclysmDDA
2015-06-01,21.97,cmssw_cmssw
2015-06-01,0.1,cockroachdb_cockroach
2015-06-01,0.76,darktableorg_darktable
2015-06-01,14.8,DefinitelyTyped_DefinitelyTyped
2015-06-01,0.68,directus_directus
2015-06-01,0.0,dotnet_aspnetcore
2015-06-01,0.56,dotnet_AspNetCore.Docs
2015-06-01,1.36,dotnet_docs
2015-06-01,41.24,dotnet_efcore
2015-06-01,1.93,dotnet_roslyn
2015-06-01,3.45,elastic_elasticsearch
2015-06-01,1.41,elastic_kibana
2015-06-01,1.09,electron_electron
2015-06-01,5.34,facebook_react
2015-06-01,99.5,facebook_reactnative
2015-06-01,83.62,getsentry_sentry
2015-06-01,186.57,godotengine_godot
2015-06-01,0.0,golang_go
2015-06-01,35.0,gradle_gradle
2015-06-01,0.67,grafana_grafana
2015-06-01,24.59,grpc_grpc
2015-06-01,1.43,hashicorp_vault
2015-06-01,0.72,homeassistant_core
2015-06-01,0.14,homeassistant_homeassistant.io
2015-06-01,4.12,Homebrew_homebrewcask
2015-06-01,1.75,influxdata_telegraf
2015-06-01,25.7,JetBrains_swot
2015-06-01,36.4,jitsi_jitsimeet
2015-06-01,16.04,jlord_patchwork
2015-06-01,6.24,joomla_joomlacms
2015-06-01,2.61,JuliaLang_julia
2015-06-01,0.75,keycloak_keycloak
2015-06-01,0.05,kubernetes_kubernetes
2015-06-01,0.27,laravel_framework
2015-06-01,4.86,magento_magento2
2015-06-01,2.26,MarlinFirmware_Marlin
2015-06-01,2.12,matplotlib_matplotlib
2015-06-01,3.22,matrixorg_synapse
2015-06-01,0.72,microsoft_TypeScript
2015-06-01,3.75,mrdoob_three.js
2015-06-01,0.65,mui_materialui
2015-06-01,39.9,neovim_neovim
2015-06-01,4.44,NixOS_nixpkgs
2015-06-01,0.82,nodejs_node
2015-06-01,0.5,obsproject_obsstudio
2015-06-01,45.49,odoo_odoo
2015-06-01,8.76,opencv_opencv
2015-06-01,1.45,openhab_openhabaddons
2015-06-01,0.5,openshift_openshiftdocs
2015-06-01,44.3,openssl_openssl
2015-06-01,5.07,pandasdev_pandas
2015-06-01,5.94,php_phpsrc
2015-06-01,43.85,PrestaShop_PrestaShop
2015-06-01,8.46,qbittorrent_qBittorrent
2015-06-01,4.6,qgis_QGIS
2015-06-01,0.0,qmk_qmk_firmware
2015-06-01,18.54,rails_rails
2015-06-01,0.54,rancher_rancher
2015-06-01,3.28,rapid7_metasploitframework
2015-06-01,558.85,redis_redis
2015-06-01,0.14,RocketChat_Rocket.Chat
2015-06-01,1.27,RPCS3_rpcs3
2015-06-01,0.21,rstudio_rstudio
2015-06-01,0.07,rustlang_rust
2015-06-01,1.62,scikitlearn_scikitlearn
2015-06-01,14.74,scipy_scipy
2015-06-01,271.71,spack_spack
2015-06-01,4.42,spyderide_spyder
2015-06-01,4.35,symfony_symfony
2015-06-01,38.86,systemd_systemd
2015-06-01,0.34,tgstation_tgstation
2015-06-01,1.33,Ultimaker_Cura
2015-06-01,1.0,webcompat_webbugs
2015-06-01,0.82,woocommerce_woocommerce
2015-06-01,2.13,xbmc_xbmc
2015-07-01,1.22,angular_angular
2015-07-01,1.6,ankidroid_AnkiAndroid
2015-07-01,51.9,ansible_ansible
2015-07-01,0.23,antdesign_antdesign
2015-07-01,0.44,apache_airflow
2015-07-01,16.42,apache_flink
2015-07-01,0.0,apache_spark
2015-07-01,0.0,apache_superset
2015-07-01,1.88,ArduPilot_ardupilot
2015-07-01,7.39,Automattic_jetpack
2015-07-01,0.05,Azure_azurepowershell
2015-07-01,0.0,Azure_azuresdkforjava
2015-07-01,0.05,Azure_azuresdkfornet
2015-07-01,4.21,Azure_azuresdkforpython
2015-07-01,1.49,bitcoin_bitcoin
2015-07-01,0.18,ceph_ceph
2015-07-01,266.07,CleverRaven_CataclysmDDA
2015-07-01,0.03,cmssw_cmssw
2015-07-01,0.53,cockroachdb_cockroach
2015-07-01,9.08,darktableorg_darktable
2015-07-01,36.44,DefinitelyTyped_DefinitelyTyped
2015-07-01,0.0,directus_directus
2015-07-01,0.0,dotnet_aspnetcore
2015-07-01,0.55,dotnet_AspNetCore.Docs
